open,high,low,close,volume,value
88590000.0,89279000.0,88311000.0,88723000.0,245.43904937,21766946057.64921
88723000.0,89182000.0,88001000.0,89139000.0,197.25503146,17422653011.36099
89139000.0,89450000.0,88592000.0,88779000.0,119.5234928,10642491318.11789
88751000.0,89550000.0,88723000.0,89446000.0,63.27937407,5644682338.12648
89450000.0,91179000.0,89316000.0,91179000.0,189.70226189,17134502486.58012
91179000.0,92000000.0,90940000.0,91170000.0,219.86342435,20093481303.97218
91244000.0,92300000.0,91200000.0,91632000.0,247.43261636,22749972194.74615
91606000.0,91920000.0,91174000.0,91789000.0,150.72847635,13791072949.49036
91789000.0,92200000.0,90900000.0,90901000.0,239.52657299,21933111904.65715
90900000.0,90990000.0,90500000.0,90727000.0,168.15165257,15255094111.14717
90703000.0,90957000.0,89601000.0,90368000.0,265.04136751,23880911765.48382
90368000.0,90845000.0,90197000.0,90845000.0,89.53454333,8101700343.57494
90829000.0,90835000.0,90400000.0,90544000.0,73.28898644,6637400478.81405
90544000.0,90545000.0,89934000.0,90027000.0,125.00433448,11267563042.88454
90000000.0,90779000.0,89600000.0,90571000.0,202.80835709,18252246255.12757
90571000.0,90660000.0,90089000.0,90160000.0,83.40097066,7543199726.68494
90179000.0,90613000.0,89976000.0,90601000.0,88.9298218,8026367979.40889
90601000.0,90691000.0,90310000.0,90501000.0,61.67886164,5584420504.75855
90481000.0,90967000.0,90314000.0,90800000.0,56.60409024,5128430934.45031
90800000.0,91178000.0,90596000.0,90654000.0,98.44602797,8948266995.88679
90654000.0,90915000.0,90000000.0,90657000.0,187.75491304,16979293484.65722
90657000.0,91557000.0,90200000.0,91158000.0,250.46732007,22795819975.18794
91162000.0,91358000.0,88900000.0,88940000.0,460.49824941,41362577190.60112
89017000.0,89454000.0,88320000.0,89221000.0,605.71297009,53802666084.71439
89221000.0,89510000.0,88640000.0,89209000.0,145.04668951,12927090672.94286
89245000.0,89281000.0,88800000.0,88885000.0,63.46812965,5650220283.64216
88867000.0,89170000.0,88614000.0,88710000.0,91.57541268,8134017134.88254
88737000.0,88915000.0,88320000.0,88454000.0,130.07981915,11516488861.71438
88410000.0,89170000.0,88000000.0,88456000.0,222.10007394,19608574219.59551
88456000.0,88542000.0,86857000.0,87595000.0,603.22204862,52827908008.3881
87594000.0,87985000.0,86377000.0,86627000.0,415.60853349,36161004235.32785
